Unnamed: 0,ellipse,ellipse1,triangle,triangle1,rectangular,rectangular1,rectangular2,rectangular3,rectangular4
1,,,,,1.0,,,,
2,,,,,,,1.0,,
3,,,,,,,1.0,,
4,,,,,1.0,,,,
5,,,,,1.0,,,,
6,,,,,1.0,,,,
7,1.0,,,,,,,,
8,,,,,1.0,,,,
9,1.0,,,,,,,,
10,,,1.0,,,,,,
