Unnamed: 0,ellipse,ellipse1,triangle,triangle1,rectangular,rectangular1,rectangular2,rectangular3,rectangular4
12,,,,,1.0,,,,
13,,,,,,,,1.0,
14,,,,,,,1.0,,
15,,,,1.0,,,,,
16,,,1.0,,,,,,
17,,,1.0,,,,,,
18,,,,1.0,,,,,
19,,,,,,,1.0,,
20,,,,1.0,,,,,
